Date,High,Low,Open,Close,Volume,Adj Close,Ordinal_Day,Outlier,Outlier_Intensity
2021-01-04,3769.989990234375,3662.7099609375,3764.610107421875,3700.64990234375,5006680000,3700.64990234375,0,-1,-0.21145730143926356
2021-01-05,3737.830078125,3695.070068359375,3698.02001953125,3726.860107421875,4582620000,3726.860107421875,1,-1,-0.12117894668057294
2021-01-06,3783.0400390625,3705.340087890625,3712.199951171875,3748.139892578125,6049970000,3748.139892578125,2,-1,-0.052206445928943634
2021-01-07,3811.550048828125,3764.7099609375,3764.7099609375,3803.7900390625,5080870000,3803.7900390625,3,1,0.03449782989602085
2021-01-08,3826.68994140625,3783.60009765625,3815.050048828125,3824.679931640625,4764180000,3824.679931640625,4,1,0.05811311441712941
2021-01-11,3817.860107421875,3789.02001953125,3803.139892578125,3799.610107421875,4450500000,3799.610107421875,5,1,0.048204596798153754
2021-01-12,3810.780029296875,3776.510009765625,3801.6201171875,3801.18994140625,4977210000,3801.18994140625,6,1,0.041977350101944866
2021-01-13,3820.9599609375,3791.5,3802.22998046875,3809.840087890625,4590420000,3809.840087890625,7,1,0.038784490066643196
2021-01-14,3823.60009765625,3792.860107421875,3814.97998046875,3795.5400390625,5180140000,3795.5400390625,8,1,0.02442994223589634
2021-01-15,3788.72998046875,3749.6201171875,3788.72998046875,3768.25,5353060000,3768.25,9,-1,-0.0006453142014671842
2021-01-19,3804.530029296875,3780.3701171875,3781.8798828125,3798.909912109375,4982940000,3798.909912109375,10,1,0.04731935424849759
2021-01-20,3859.75,3816.219970703125,3816.219970703125,3851.85009765625,4551790000,3851.85009765625,11,1,0.04046348150807072
2021-01-21,3861.449951171875,3845.050048828125,3857.4599609375,3853.070068359375,4484460000,3853.070068359375,12,1,0.03824977839017818
2021-01-22,3852.31005859375,3830.409912109375,3844.239990234375,3841.469970703125,5080430000,3841.469970703125,13,1,0.01929316554838323
2021-01-25,3859.22998046875,3797.159912109375,3851.679931640625,3855.360107421875,6955860000,3855.360107421875,14,1,0.011121871620160206
2021-01-26,3870.89990234375,3847.780029296875,3862.9599609375,3849.6201171875,6029090000,3849.6201171875,15,1,0.02724731238005923
2021-01-27,3836.830078125,3732.47998046875,3836.830078125,3750.77001953125,9878040000,3750.77001953125,16,-1,-0.050490073180659345
2021-01-28,3830.5,3755.75,3755.75,3787.3798828125,6937960000,3787.3798828125,17,-1,-0.010924181145068323
2021-01-29,3778.050048828125,3694.1201171875,3778.050048828125,3714.239990234375,6612570000,3714.239990234375,18,-1,-0.14206107755785735
2021-02-01,3784.320068359375,3725.6201171875,3731.169921875,3773.860107421875,5392870000,3773.860107421875,19,-1,-0.031959496657882
